COM COD,COURSE NO.,COURSE TITLE,CREDIT,,,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,MIDSEM DATE & SESSION,COMPRE DATE & SESSION
,,,L,P,U,,,,,,
1002,BIO F111,GENERAL BIOLOGY,3,-,3,L1,SHIBASISH CHOWDHURY,5102,T Th F  2,09/10 FN2,14/12 AN
,,,,,,,Syamantak Majumder,,,,
,,,,,,,Pankaj Kumar Sharma,,,,
,,,,,,,Vishal Saxena,,,,
,,,,,,L2,Syamantak Majumder,5106,T Th F  4,09/10 FN2,14/12 AN
,,,,,,,Pankaj Kumar Sharma,,,,
,,,,,,,Vishal Saxena,,,,
,,Tutorial,,,,T1,Shashi Prakash Singh,6157,F  1,,
,,,,,,T2,Uma S Dubey,6158,F  1,,
,,,,,,T3,Shashi Prakash Singh,6153,T  7,,
,,,,,,T4,Syamantak Majumder,6103,T  7,,
,,,,,,T5,Pankaj Kumar Sharma,6104,T  7,,
,,,,,,T6,Ashis Kumar Das,6154,T  7,,
,,,,,,T7,Soumitra Ghosh,6157,T  7,,
,,,,,,T8,P R Deepa,6153,W  1,,
,,,,,,T9,Uma S Dubey,6154,W  1,,
,,,,,,T10,Sudeshna Mukherjee,6157,W  1,,
,,,,,,T11,Soumitra Ghosh,6158,W  1,,
,,,,,,T12,Shibasish Chowdhury,6159,W  1,,
,,,,,,T13,Vishal Saxena,6103,W  1,,
