COM COD,COURSE NO.,COURSE TITLE,CREDIT,,,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,MIDSEM DATE & SESSION,COMPRE DATE & SESSION
,,,L,P,U,,,,,,
1007,CHEM F111,GENERAL CHEMISTRY,3,-,3,L1,PARTHA SARATHI ADDY,5105,T Th F  2,04/10 FN2,05/12 AN
,,,,,,,Madhushree Sarkar,,,,
,,,,,,,Rajeev Sakhuja,,,,
,,,,,,L2,Partha Sarathi Addy,5105,T Th F  4,04/10 FN2,05/12 AN
,,,,,,,Madhushree Sarkar,,,,
,,,,,,,Rajeev Sakhuja,,,,
,,Tutorial,,,,T1,Paritosh Shukla,2204,T  7,,
,,,,,,T2,Shamik Chakraborty,6107,T  7,,
,,,,,,T3,Partha Sarathi Addy,6109,T  7,,
,,,,,,T4,Ram Kinkar Roy,6160,T  7,,
,,,,,,T5,Saumi Ray,6161,T  7,,
,,,,,,T6,Prashant Uday Manohar,6153,Th  7,,
,,,,,,T7,Paritosh Shukla,2204,Th  7,,
,,,,,,T8,Madhushree Sarkar,6152,Th  7,,
,,,,,,T9,Inamur Rahaman Laskar,6163,Th  7,,
,,,,,,T10,Ram Kinkar Roy,6160,W  1,,
,,,,,,T11,Saumi Ray,6161,W  1,,
,,,,,,T12,Inamur Rahaman Laskar,6105,W  1,,
